일자	계(명)	국내발생(명)	해외유입(명)	사망(명)
누적(명)	18,119,415	18,086,550	32,865	24,197 
2020-01-20	1 	-	1 	-
2020-01-21	0 	-	-	-
2020-01-22	0 	-	-	-
2020-01-23	0 	-	-	-
2020-01-24	1 	-	1 	-
2020-01-25	0 	-	-	-
2020-01-26	1 	-	1 	-
2020-01-27	1 	-	1 	-
2020-01-28	0 	-	-	-
2020-01-29	0 	-	-	-
2020-01-30	3 	1 	2 	-
2020-01-31	4 	3 	1 	-
2020-02-01	1 	-	1 	-
2020-02-02	3 	1 	2 	-
2020-02-03	0 	-	-	-
2020-02-04	1 	-	1 	-
2020-02-05	5 	3 	2 	-
2020-02-06	3 	1 	2 	-
2020-02-07	0 	-	-	-
2020-02-08	0 	-	-	-
2020-02-09	3 	1 	2 	-
2020-02-10	1 	1 	-	-
2020-02-11	0 	-	-	-
2020-02-12	0 	-	-	-
2020-02-13	0 	-	-	-
2020-02-14	0 	-	-	-
2020-02-15	0 	-	-	-
2020-02-16	2 	2 	-	-
2020-02-17	0 	-	-	-
2020-02-18	2 	2 	-	-
2020-02-19	34 	34 	-	-
2020-02-20	16 	16 	-	1
2020-02-21	74 	74 	-	-
2020-02-22	190 	190 	-	2
2020-02-23	210 	209 	1 	-
2020-02-24	207 	206 	1 	4
2020-02-25	130 	129 	1 	1
2020-02-26	253 	252 	1 	3
2020-02-27	449 	447 	2 	1
2020-02-28	427 	427 	-	1
2020-02-29	909 	909 	-	3
2020-03-01	595 	593 	2 	1
2020-03-02	686 	684 	2 	6
2020-03-03	600 	599 	1 	5
2020-03-04	516 	516 	-	4
2020-03-05	438 	437 	1 	3
2020-03-06	518 	518 	-	7
2020-03-07	483 	483 	-	2
2020-03-08	367 	366 	1 	6
2020-03-09	248 	247 	1 	1
2020-03-10	131 	131 	-	3
2020-03-11	242 	239 	3 	6
2020-03-12	114 	112 	2 	6
2020-03-13	110 	107 	3 	1
2020-03-14	107 	102 	5 	5
2020-03-15	76 	72 	4 	3
2020-03-16	74 	70 	4 	-
2020-03-17	84 	79 	5 	6
2020-03-18	93 	80 	13 	3
2020-03-19	152 	135 	17 	7
2020-03-20	87 	73 	14 	3
2020-03-21	147 	126 	21 	8
2020-03-22	98 	77 	21 	2
2020-03-23	64 	46 	18 	7
2020-03-24	76 	46 	30 	9
2020-03-25	100 	42 	58 	6
2020-03-26	104 	56 	48 	5
2020-03-27	91 	57 	34 	8
